theme,archive_repositories,archive_dates_repository_or_file_see_report,external_document,external_date,assessment,source_url
Refugee restoration finance,newcomer_biosphere_initiative; restoration_visas,2025-12-27; 2026-01-28,UNHCR REP launch; Farm Africa partnerships,2025-11-13; 2026-04-09,Strong thematic match; programme launch predates selected files,https://www.unhcr.org/news/press-releases/unhcr-launches-first-large-scale-refugee-led-carbon-finance-projects-cop30
Green jobs and integration,restoration_visas,2026-01-28,ILO PROSPECTS,2019 onward,Existing operational analogue; no adoption link,https://prospectslearnings.ilo.org/interventions/employment-intensive-investment-programmes-eiip/local-applications
Natural capital and water resilience,canada_food_water_sovereignty; our_debt_deep_dive,2025-11-18; 2026-01-25,Canada Force of Nature strategy,2026-03-31,Later policy overlap; official strategy lineage from 2024,https://www.pm.gc.ca/en/news/news-releases/2026/03/31/prime-minister-carney-launches-new-nature-strategy-protect-canadas
Media provenance and privacy,herolens,2025-08-23,WITNESS report launch,2026-07-08,Specific design tension shared; earlier WITNESS work in 2022,https://www.witness.org/witness-convenes-experts-in-geneva-and-launches-new-report-on-ai-content-authenticity-and-surveillance-risks/
Nature credits,newcomer_biosphere_initiative; our_debt_deep_dive,2025-12-27; 2026-01-25,European Commission roadmap,2025-07-07,Earlier policy; participation rewards differ from verified outcomes,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=comnat%3ACOM_2025_0374_FIN
AI and institutional oversight,institutional_integrity_acceleration,2026-02-02,OECD public integrity chapter,2025-09-18,Earlier documented applications; archive links OECD resources,https://www.oecd.org/en/publications/2025/06/governing-with-artificial-intelligence_398fa287/full-report/ai-in-fighting-corruption-and-promoting-public-integrity_60f5c50a.html
Participatory governance,democratic_cascades; lego_war_on_narratives,2026-01-27; 2026-01-28,OECD deliberation guidance; AI participation report,2021-12-14; June 2026,Archive cites existing civic-tech lineage; later report is relevant comparison,https://doi.org/10.1787/a1ee2e0a-en
Future generations,intergenerational-wisdom-movement,2025-08-03,UN Declaration on Future Generations,September 2024,Earlier formal governance counterpart,https://www.un.org/pact-for-the-future/en/annex-ii-declaration-future-generations
Polycrisis and regeneration,global_vulnerability_atlas; polycrisis,2025-12-06; 2026-02-03,WEF Global Risks 2026; UNU Deep Change,2026-01-14; 2025-04-09,Shared frameworks; antecedents in 2023 and 2025; atlas uses sample data,https://unu.edu/ehs/press-release/un-university-finds-five-deep-changes-urgently-needed-safer-world-and-how-achieve
Direct use of a policy source,carney_2026,2026-01-28,Carney Davos speech,2026-01-20,Explicit source citation in later archive file,https://www.pm.gc.ca/en/news/speeches/2026/01/20/principled-and-pragmatic-canadas-path-prime-minister-carney-addresses
