id,category,element,specific_element,assessment,grade,repository,file,repository_created,file_added_committer_date,evidence_in_export,assessment_detail,comparison_sources,archive_file_link,catalog_number
1,Funding and verification,Donor-intent execution,"Signed allocations executed through splits, streams and bridges, with escrow on failure and no silent rerouting.",Narrow combination to investigate,A,Donor_Intent_Router,README.md,2025-08-15T22:45:13Z,2025-08-15T15:43:57-07:00,Source code present (not tested),The exact failure-handling and adapter contract is the candidate; signed messages and milestone donations have predecessors.,https://eips.ethereum.org/EIPS/eip-712; https://github.com/Giveth/milestonetracker,https://github.com/therickyfoster/Donor_Intent_Router/blob/main/README.md,1
2,Funding and verification,Document-and-code upgrade guard,Dual document hashes combined with an allow-list of implementation code hashes and fail-closed upgrades.,Narrow combination to investigate,A,smart_contracts,README.md,2025-10-21T03:57:15Z,2025-10-20T21:57:16-06:00,Source code present (not tested),A concrete integrity integration; hashes do not prove that code implements the document's meaning.,https://arxiv.org/html/2408.06478,https://github.com/therickyfoster/smart_contracts/blob/main/README.md,2
3,Funding and verification,Aid-access escrow,Guardian-verified humanitarian access or delivery milestones govern release of escrowed funds.,Narrow combination to investigate,A,aid_access_escrow_v2,README.md,2025-10-18T22:23:41Z,2025-10-18T20:34:38-06:00,Document or interface proposal; claimed capability not independently demonstrated,Investigate access-specific evidence and disputes; outcome-conditioned charity payments already existed.,https://github.com/Giveth/milestonetracker; https://github.com/alice-si/contracts,https://github.com/therickyfoster/aid_access_escrow_v2/blob/main/README.md,3
4,Funding and verification,Policy-to-payment pipeline,Translate spending policies into reviewable Safe transaction bundles with caps and governance gates.,Precedented ingredients / application design,B,funding-influx-pipeline,README.md,2025-08-14T11:25:33Z,2025-08-14T01:24:11-07:00,Source code present (not tested),Implementation/integration candidate; no independent first-in-class finding.,https://eips.ethereum.org/EIPS/eip-712,https://github.com/therickyfoster/funding-influx-pipeline/blob/main/README.md,4
5,Funding and verification,Sequential Proof Stacks,"IPFS/Arweave replication, parent-linked records, multiple timestamp anchors and offline verification bundles.",Precedented ingredients / application design,B,immusion,README.md,2025-09-08T01:29:27Z,2025-09-07T18:29:28-07:00,Document or interface proposal; claimed capability not independently demonstrated,A packaging and interoperability candidate; nested and multi-source timestamp proofs predate it.,https://lists.w3.org/Archives/Public/public-blockchain/2016Sep/0064.html,https://github.com/therickyfoster/immusion/blob/main/README.md,5
6,Funding and verification,Repository notarization workflow,Automatically hash and timestamp repository material and publish verification artifacts.,Precedented ingredients / application design,B,global-notarization,README.md,2025-07-23T11:31:40Z,2025-07-23T05:31:40-06:00,Document or interface proposal; claimed capability not independently demonstrated,Workflow convenience is the possible contribution; timestamping is established.,https://lists.w3.org/Archives/Public/public-blockchain/2016Sep/0064.html,https://github.com/therickyfoster/global-notarization/blob/main/README.md,6
7,Funding and verification,Conditional immutable storage,"Keep verifiable records while releasing access according to time, votes or other conditions.",Precedented ingredients / application design,B,conditional-immutable-storage,README.md,2025-07-29T03:20:07Z,2025-07-28T21:20:07-06:00,Document or interface proposal; claimed capability not independently demonstrated,Decentralized conditional decryption was documented by 2022; this repository is thin.,https://spark.litprotocol.com/working-with-decentralized-access-control/,https://github.com/therickyfoster/conditional-immutable-storage/blob/main/README.md,7
8,Funding and verification,Proof-of-growth funding loops,Tie restoration funding and land-regeneration incentives to measured growth.,Precedented ingredients / application design,B,planetary-restoration-archive,innovations/regenerative-economics/003-tokenized-terra-loops/README.md,2025-07-05T23:29:31Z,2025-07-06T04:55:24-06:00,Document or interface proposal; claimed capability not independently demonstrated,Ecological verification and credit infrastructure have close predecessors; local document is a short concept.,https://registry-program-guide.regen.network/,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/regenerative-economics/003-tokenized-terra-loops/README.md,8
9,Funding and verification,Debt-to-soil conversion,Express debt relief or conversion through soil-restoration commitments and DAO accounting.,Precedented ingredients / application design,B,planetary-restoration-archive,innovations/regenerative-economics/004-debt-to-soil-engine/README.md,2025-07-05T23:29:31Z,2025-07-06T04:55:24-06:00,Document or interface proposal; claimed capability not independently demonstrated,A proposed metric/application of earlier debt-for-nature approaches.,https://wfpc.sanford.duke.edu/podcasts/revamping-debt-for-nature-swaps-could-support-resilient-food-systems/; https://registry-program-guide.regen.network/,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/regenerative-economics/004-debt-to-soil-engine/README.md,9
10,Funding and verification,Carbon-behavior oracle,Use an oracle to validate carbon-sink activities and close an incentive loop.,Precedented ingredients / application design,B,planetary-restoration-archive,innovations/regenerative-economics/005-circular-carbon-credit-oracle/README.md,2025-07-05T23:29:31Z,2025-07-06T04:55:24-06:00,Document or interface proposal; claimed capability not independently demonstrated,Specific verification method is insufficiently detailed to claim a new oracle.,https://registry-program-guide.regen.network/,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/regenerative-economics/005-circular-carbon-credit-oracle/README.md,10
11,Funding and verification,Multispecies restoration dividends,Reward rewilding through local-DAO dividend distribution.,Precedented ingredients / application design,B,planetary-restoration-archive,innovations/regenerative-economics/006-multispecies-dividend-distributor/README.md,2025-07-05T23:29:31Z,2025-07-06T04:55:24-06:00,Document or interface proposal; claimed capability not independently demonstrated,Potential incentive design; biodiversity measurement and beneficiary rules need definition.,https://registry-program-guide.regen.network/,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/regenerative-economics/006-multispecies-dividend-distributor/README.md,11
12,Funding and verification,Arbitrage-funded restoration,Redirect trading/arbitrage revenue into ecological work.,Too thin or unresolved,C,planetary-restoration-archive,innovations/regenerative-economics/002-bioeconomic-arbitrage-mesh/README.md,2025-07-05T23:29:31Z,2025-07-06T04:55:24-06:00,Document or interface proposal; claimed capability not independently demonstrated,"Funding allocation concept, not a demonstrated new trading or restoration mechanism.",,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/regenerative-economics/002-bioeconomic-arbitrage-mesh/README.md,12
13,Media and civic participation,Privacy-before-provenance field media,"Redact identifying content before signing and archiving, with consent, location/time fuzzing and emergency blackout.",Narrow combination to investigate,A,herolens,README.md,2025-08-23T18:13:10Z,2025-08-23T12:13:52-06:00,Document or interface proposal; claimed capability not independently demonstrated,The integrated order of operations and failure behavior deserve comparison; both privacy editing and signed evidence have antecedents.,https://guardianproject.info/2017/02/24/combating-fake-news-with-a-smartphone-proof-mode/; https://guardianproject.info/apps/org.witness.sscphase1.iw/,https://github.com/therickyfoster/herolens/blob/main/README.md,13
14,Media and civic participation,Service-to-proof-to-funding media loop,"Link recorded public service, verifiable evidence and livestream support for regeneration.",Narrow combination to investigate,A,herolens,README.md,2025-08-23T18:13:10Z,2025-08-23T12:13:52-06:00,Document or interface proposal; claimed capability not independently demonstrated,A product/workflow combination; full operational system not demonstrated in the early repo.,https://guardianproject.info/2017/02/24/combating-fake-news-with-a-smartphone-proof-mode/; https://github.com/alice-si/contracts,https://github.com/therickyfoster/herolens/blob/main/README.md,14
15,Media and civic participation,Portable deliberation packs,"Local deliberation, spectrum voting, role weighting and manually shared discussion packs.",Narrow combination to investigate,A,lego_war_on_narratives,index.html,2026-01-28T18:16:29Z,2026-01-28T13:16:51-05:00,Document or interface proposal; claimed capability not independently demonstrated,"Investigate the offline exchange and reconciliation rules, not voting as a new concept.",https://decidim.org/blog/2017-10-09-estreno-web/; https://www.oecd.org/en/publications/tackling-civic-participation-challenges-with-emerging-technologies_ec2ca9a2-en.html,https://github.com/therickyfoster/lego_war_on_narratives/blob/main/index.html,15
16,Media and civic participation,Civic participation cascades,"Connect small civic actions, collective feedback and intrinsic motivation while addressing burnout.",Precedented ingredients / application design,B,democratic_cascades,README.md,2026-01-27T16:08:51Z,2026-01-27T11:11:46-05:00,Document or interface proposal; claimed capability not independently demonstrated,Research synthesis and interaction design; the repository acknowledges civic-tech predecessors.,https://decidim.org/blog/2017-10-09-estreno-web/; https://www.oecd.org/en/publications/tackling-civic-participation-challenges-with-emerging-technologies_ec2ca9a2-en.html,https://github.com/therickyfoster/democratic_cascades/blob/main/README.md,16
17,Media and civic participation,Seasonal stewardship identity,"Mnemonic vows, locally stored memory, seasonal roles and community rituals as an engagement interface.",Narrow combination to investigate,A,community_engagement,README.md,2025-12-01T21:17:02Z,2025-12-01T14:18:45-07:00,Document or interface proposal; claimed capability not independently demonstrated,Distinctive interaction package; cultural memory and seasonal practice are established.,https://www.unesco.org/en/links/transmission,https://github.com/therickyfoster/community_engagement/blob/main/README.md,17
18,Media and civic participation,Cross-border ecological story exchange,Russian/Ukrainian/English restoration stories and seed-path activities organized as a shared participation framework.,Narrow combination to investigate,A,seed_paths_unity,README.md,2025-12-02T15:49:46Z,2025-12-03T17:32:27-07:00,Document or interface proposal; claimed capability not independently demonstrated,"Candidate for a specific delivery model, not the origin of environmental peacebuilding.",https://www.unesco.org/en/links/transmission; https://www.oecd.org/en/publications/tackling-civic-participation-challenges-with-emerging-technologies_ec2ca9a2-en.html,https://github.com/therickyfoster/seed_paths_unity/blob/main/README.md,18
